Epoch,Accuracy,Accuracy Val
0,0.23141025,0.23367389
1,0.33495593,0.34104568
2,0.38727966,0.3878205
3,0.41484374,0.41336137
4,0.44160658,0.44010416
5,0.45242387,0.44831732
6,0.47233573,0.4747596
7,0.48673877,0.48497596
8,0.49841747,0.49569312
9,0.51702726,0.51011616
10,0.51929086,0.50771236
11,0.53828126,0.52373797
12,0.5375401,0.52684295
13,0.5522436,0.5401643
14,0.5674679,0.55328524
15,0.57395834,0.55488783
16,0.5857572,0.568109
17,0.5684695,0.5509816
18,0.5965946,0.5741186
19,0.60873395,0.58613783
