Epoch,Accuracy,Accuracy_val
45,0.23359475,0.22546074
45,0.12704065,0.12179487
46,0.12341949,0.1186899
47,0.071582906,0.07111378
48,0.08846831,0.0859375
49,0.09929177,0.098958336
50,0.24211748,0.2421875
51,0.1050136,0.10927484
52,0.11613716,0.11758814
53,0.0871879,0.084535256
54,0.13774408,0.13802083
55,0.12391965,0.122495994
56,0.10553377,0.10496795
57,0.10037212,0.099358976
58,0.11903809,0.11678686
59,0.07412372,0.073617786
60,0.12321943,0.118990384
61,0.12425976,0.12259615
62,0.09891165,0.095552884
63,0.1303217,0.12940705
64,0.120238476,0.11648638
65,0.13068181,0.12489984
66,0.12542014,0.124799676
67,0.12892126,0.12690304
68,0.077724874,0.079126604
69,0.07696463,0.07742388
70,0.04865557,0.045773238
71,0.06274008,0.064202726
72,0.11035531,0.10817308
73,0.1127961,0.1156851
74,0.13476312,0.13151042
75,0.1225192,0.11949118
76,0.11677737,0.11688702
77,0.07756482,0.079527244
78,0.13256241,0.13000801
79,0.14484635,0.14152645
80,0.15602992,0.15454727
81,0.12860115,0.123697914
82,0.09152929,0.09054487
83,0.11265605,0.11057692
84,0.1003121,0.09735577
85,0.14828745,0.14523236
86,0.13758403,0.13351361
87,0.13578345,0.13271233
88,0.10809459,0.10576923
89,0.12754081,0.12650241
