epoch,accuracy,val_accuracy
45,0.23798077,0.2530242
46,0.25480768,0.2641129
47,0.2489984,0.25604838
48,0.25040063,0.2610887
49,0.25540864,0.2610887
50,0.25460738,0.26814517
51,0.2520032,0.25604838
52,0.2520032,0.25100806
53,0.24759616,0.25100806
54,0.2560096,0.25705644
55,0.24799679,0.26512095
56,0.2578125,0.26008064
57,0.25420672,0.25604838
58,0.2560096,0.25907257
59,0.25941506,0.26612905
60,0.26041666,0.2671371
61,0.26161858,0.2610887
62,0.26943108,0.26814517
63,0.26302084,0.27520162
64,0.26001602,0.2701613
65,0.26161858,0.27116936
66,0.26181892,0.2641129
67,0.2648237,0.26612905
68,0.26161858,0.27116936
69,0.2646234,0.26310483
70,0.26302084,0.27116936
71,0.26402244,0.2580645
72,0.26101762,0.25705644
73,0.26021636,0.25907257
74,0.23717949,0.24193548
75,0.24278846,0.24294356
76,0.24659455,0.24798387
77,0.25020033,0.25705644
78,0.25260416,0.25604838
79,0.25060096,0.25403225
80,0.2578125,0.24899194
81,0.25040063,0.26612905
82,0.26262018,0.25201613
83,0.24779648,0.2641129
84,0.25460738,0.26512095
85,0.26722756,0.27419356
