accuracy,accuracy_val,time
0.1016,0.119,2492.1787202358246
0.0982,0.091,2447.5563294887543
0.1,0.1,2445.5391812324524
0.0974,0.098,2438.1730585098267
0.0972,0.099,2440.4534409046173
0.092,0.088,2446.0603487491608
0.0966,0.091,2440.832437992096
0.0904,0.102,2441.334606409073
0.1044,0.102,2447.294226884842
0.1038,0.1,2451.3058733940125
0.0938,0.115,2448.7916836738586
0.1016,0.11,2465.660053253174
0.096,0.1,2451.8116402626038
0.097,0.092,2449.571136236191
0.0962,0.11,2451.505722284317
