epoch,accuracy,accuracy_val,time
44,0.2736,0.279,198.28729581832886
45,0.3286,0.323,391.83093428611755
46,0.325,0.307,392.70928406715393
47,0.3302,0.313,392.5513470172882
48,0.336,0.321,393.6134994029999
49,0.3352,0.312,392.07557249069214
50,0.3348,0.309,397.30262327194214
51,0.3416,0.317,389.1023442745209
52,0.3304,0.309,388.3140118122101
53,0.3376,0.322,393.7680025100708
54,0.3424,0.33,388.6565704345703
55,0.3462,0.318,398.14159631729126
56,0.3488,0.33,390.1187379360199
57,0.3408,0.312,390.4115812778473
58,0.3568,0.331,389.9073317050934
59,0.3438,0.34,393.30672335624695
60,0.356,0.337,391.04912996292114
61,0.3568,0.322,441.9089982509613
62,0.348,0.331,390.11465978622437
63,0.3572,0.315,391.35819578170776
64,0.359,0.329,391.32240891456604
65,0.3536,0.331,393.17782330513
66,0.3628,0.336,390.39130783081055
67,0.3592,0.333,392.5294234752655
68,0.36,0.336,389.84091305732727
69,0.361,0.333,390.88409757614136
70,0.3584,0.332,390.66856265068054
71,0.3654,0.33,388.19043612480164
72,0.3602,0.337,389.35695362091064
73,0.369,0.345,388.53279066085815
74,0.3536,0.332,389.2674083709717
75,0.3738,0.344,388.5999286174774
76,0.3724,0.353,387.5555362701416
77,0.3678,0.342,390.3421404361725
78,0.3588,0.335,389.97820138931274
79,0.3586,0.342,390.69902658462524
80,0.3764,0.349,388.39487886428833
81,0.3704,0.343,388.4421327114105
82,0.3654,0.351,388.5211834907532
83,0.362,0.343,389.21274852752686
84,0.374,0.351,387.606308221817
85,0.3712,0.343,387.6012864112854
86,0.3658,0.339,390.3906555175781
87,0.3624,0.339,388.3029842376709
88,0.3634,0.336,388.68246626853943
89,0.378,0.353,388.3420765399933
