epoch,accuracy,accuracy_val,time
44,0.2736,0.279,198.92625045776367
45,0.3286,0.323,404.529278755188
46,0.325,0.307,419.7587869167328
47,0.3302,0.313,404.9330129623413
48,0.336,0.321,399.0770447254181
49,0.3352,0.312,398.2155203819275
50,0.3348,0.309,398.92262172698975
51,0.3416,0.317,400.1720597743988
52,0.3304,0.309,402.7556529045105
53,0.3376,0.322,404.4081859588623
54,0.3424,0.33,408.8386800289154
55,0.3462,0.318,404.26779222488403
56,0.3488,0.33,399.6866035461426
57,0.3408,0.312,399.6477642059326
58,0.3568,0.331,398.6545457839966
59,0.3438,0.34,400.27285957336426
60,0.356,0.337,396.44229793548584
61,0.3568,0.322,402.2119870185852
62,0.348,0.331,395.4318382740021
63,0.3572,0.315,402.9146554470062
64,0.359,0.329,394.5117688179016
65,0.3536,0.331,397.0594205856323
66,0.3628,0.336,396.43132066726685
67,0.3592,0.333,396.4998550415039
68,0.36,0.336,401.4879138469696
69,0.361,0.333,395.45084047317505
70,0.3584,0.332,394.71604776382446
71,0.3654,0.33,395.27751111984253
72,0.3602,0.337,397.54536032676697
73,0.369,0.345,394.1770145893097
74,0.3536,0.332,396.7200825214386
75,0.3738,0.344,395.19152212142944
76,0.3724,0.353,399.17707538604736
77,0.3678,0.342,394.9059534072876
78,0.3588,0.335,395.4972286224365
79,0.3586,0.342,395.94607424736023
80,0.3764,0.349,393.81459498405457
81,0.3704,0.343,393.8493707180023
82,0.3654,0.351,393.1187355518341
83,0.362,0.343,394.9000301361084
84,0.374,0.351,393.72605657577515
85,0.3712,0.343,400.9991283416748
86,0.3658,0.339,392.56898188591003
87,0.3624,0.339,394.11415004730225
88,0.3634,0.336,394.23775267601013
89,0.378,0.353,396.3943727016449
