accuracy,accuracy_val,time
0.1618,0.16,1049.832184791565
0.1862,0.185,1045.061020374298
0.209,0.201,1048.0070776939392
0.2386,0.235,1045.8393530845642
0.2666,0.274,1049.1493065357208
0.2948,0.316,1050.0499033927917
0.3156,0.346,1049.7453308105469
0.3392,0.362,1047.4398605823517
0.3572,0.377,1046.4384367465973
0.3778,0.391,1049.3730297088623
0.3876,0.406,1056.728520154953
0.4004,0.421,1046.4209043979645
0.4124,0.434,1046.7559382915497
0.4224,0.435,1044.8441491127014
0.4294,0.443,1046.3210434913635
0.4384,0.45,1046.64177942276
0.4454,0.456,1046.733325958252
0.4564,0.461,1047.3129858970642
0.4608,0.468,1060.9180002212524
0.467,0.474,1045.889642238617
0.4724,0.472,1048.2639062404633
0.4776,0.471,1046.8850405216217
0.4834,0.483,1048.041514158249
0.487,0.487,1045.9194152355194
0.495,0.495,1045.6935894489288
0.4986,0.498,1045.2773294448853
0.5036,0.504,1050.1387536525726
0.5102,0.505,1045.9396126270294
0.5138,0.509,1046.9629786014557
0.5172,0.51,1046.3206255435944
0.5216,0.515,1046.692076921463
0.5232,0.517,1047.764585018158
0.532,0.518,1045.5601918697357
0.5364,0.517,1044.6108710765839
0.5388,0.521,1049.8631417751312
0.544,0.526,1045.957763671875
0.5452,0.526,1045.737505197525
0.5488,0.527,1044.213302373886
0.5514,0.53,1045.7223608493805
0.5526,0.533,1044.9568860530853
0.5562,0.538,1044.9356098175049
0.5582,0.536,1045.932641506195
0.5622,0.538,1048.710165977478
0.5642,0.545,1046.6726393699646
0.569,0.543,1045.4066541194916
0.5706,0.542,2133.595987558365
0.5734,0.544,2126.3015637397766
0.5776,0.546,2136.7923913002014
0.5794,0.547,2127.145288467407
0.5818,0.551,2123.410051584244
