accuracy,accuracy_val,time
0.2498,0.264,1042.1277351379395
0.2498,0.264,1046.2892327308655
0.2498,0.264,1043.2827785015106
0.2498,0.264,1043.1269116401672
0.2498,0.264,1042.4844398498535
0.2498,0.264,1042.4902322292328
0.2498,0.264,1042.4218344688416
0.2498,0.264,1046.9639394283295
0.2498,0.264,1045.2851283550262
0.2498,0.264,1043.2344386577606
0.2498,0.264,1045.591320514679
0.2498,0.264,1047.862692117691
0.2498,0.264,1043.2578954696655
0.2498,0.264,1044.148031949997
0.2498,0.264,1040.9026675224304
0.2498,0.264,1041.1884417533875
0.2498,0.264,1043.8378067016602
0.2498,0.264,1041.0310587882996
0.2498,0.264,1040.8953561782837
0.2498,0.264,1041.7504155635834
0.2498,0.264,1041.2073016166687
0.2498,0.264,1042.0072379112244
0.2498,0.264,1042.1676971912384
0.2498,0.264,1043.3072271347046
0.2498,0.264,1042.2783198356628
0.2498,0.264,1041.8353066444397
0.2498,0.264,1044.934030532837
0.2498,0.264,1043.9778649806976
0.2498,0.264,1040.7944195270538
0.2498,0.264,1046.2086045742035
0.2498,0.264,1043.841449022293
0.2498,0.264,1041.8096647262573
0.2498,0.264,1042.259173631668
0.2498,0.264,1042.2745716571808
0.2498,0.264,1042.1300992965698
0.2498,0.264,1041.6538627147675
0.2498,0.264,1044.5125467777252
0.2498,0.264,1044.435712337494
0.2498,0.264,1041.824464082718
0.2498,0.264,1041.9914457798004
0.2498,0.264,1045.7455623149872
0.2498,0.264,1041.211374282837
0.2498,0.264,1042.0280096530914
0.2498,0.264,1042.3933300971985
0.2498,0.264,1047.6321532726288
0.5506,0.516,2125.2668521404266
0.5532,0.519,2124.961827993393
0.555,0.52,2126.765011548996
0.5558,0.521,2118.435561656952
0.5582,0.52,2144.868636369705
