accuracy,accuracy_val,time
0.0982,0.099,3681.134330034256
0.1454,0.158,3696.50187087059
0.1788,0.173,3663.7594451904297
0.193,0.198,3675.030019760132
0.2144,0.224,3691.8766474723816
0.2454,0.235,3808.6335163116455
0.2362,0.229,3693.916314125061
0.2448,0.241,3675.4537048339844
0.276,0.27,3688.2211458683014
0.2944,0.297,3638.9589445590973
0.3048,0.309,3668.6823749542236
0.3118,0.326,3654.8509390354156
0.328,0.34,3668.9232306480408
0.3462,0.359,3682.81520986557
0.3564,0.368,3657.1097540855408
0.3618,0.375,3667.9168617725372
0.3732,0.392,3674.4223279953003
0.3834,0.401,3661.966145992279
0.3954,0.41,3659.496559381485
0.405,0.416,3638.350026845932
0.4122,0.423,3659.748480319977
0.4184,0.428,3662.9787011146545
0.4226,0.432,3679.952239751816
0.4258,0.433,3655.109941482544
0.431,0.439,3684.0479080677032
0.4346,0.444,3691.1951661109924
0.4402,0.446,3654.6026451587677
0.4458,0.448,3632.939459323883
0.4498,0.451,3653.9193766117096
0.4556,0.455,3675.548304796219
0.4592,0.457,3663.300802230835
0.4624,0.461,3642.013001680374
0.4662,0.469,3655.2830357551575
0.4724,0.47,3666.939433336258
0.4796,0.47,3666.517158508301
0.485,0.469,3667.6860542297363
0.4908,0.473,3660.4785900115967
0.4972,0.474,3649.7974894046783
0.5028,0.478,3650.1392798423767
0.5068,0.484,3667.8739829063416
0.5094,0.482,3671.6958949565887
0.5164,0.483,3666.1143851280212
0.5146,0.482,3643.3723537921906
0.5184,0.481,3678.43554353714
0.5234,0.488,3652.869408607483
0.5242,0.49,3669.954206228256
0.5274,0.492,3660.9508395195007
0.53,0.496,3685.90775680542
0.537,0.505,3681.786548614502
0.5404,0.509,3676.009262084961
