accuracy,accuracy_val,time
0.1022,0.1,1091.3526306152344
0.1402,0.153,1093.09650182724
0.1298,0.127,1090.4866518974304
0.156,0.161,1088.4897363185883
0.1818,0.193,1088.656837463379
0.2022,0.2,1092.0995044708252
0.234,0.217,1088.28733253479
0.254,0.238,1088.9919347763062
0.2702,0.267,1089.1505963802338
0.2938,0.285,1089.782041311264
0.309,0.302,1092.1313407421112
0.3306,0.31,1087.9679508209229
0.3484,0.337,1092.3893764019012
0.3616,0.347,1092.3072152137756
0.378,0.36,1090.6710634231567
0.3836,0.361,1089.7818064689636
0.3906,0.367,1089.4459781646729
0.3912,0.373,1087.7314984798431
0.4022,0.377,1090.654996395111
0.4072,0.395,1087.9658679962158
0.4118,0.393,1092.1466217041016
0.4162,0.402,1087.720232963562
0.4254,0.409,1088.945433139801
0.4304,0.412,1088.845708847046
0.4332,0.424,1087.6733243465424
0.4344,0.422,1087.486938238144
0.4518,0.436,1088.6339144706726
0.4486,0.44,1089.5030319690704
0.4464,0.437,1094.6522209644318
0.4502,0.451,1088.1939780712128
0.4564,0.449,1088.0251250267029
0.4624,0.454,1088.7798991203308
0.4752,0.46,1092.6999623775482
0.4756,0.464,1087.7660295963287
0.4812,0.472,1088.0114750862122
0.4828,0.459,1088.1842424869537
0.4758,0.463,1089.2411041259766
0.4806,0.468,1089.164973974228
0.4928,0.47,1086.739283323288
0.491,0.467,1088.2445394992828
0.5084,0.481,1087.9536519050598
0.5112,0.486,1088.7111248970032
0.487,0.469,1090.4379632472992
0.5064,0.473,1090.046592950821
0.498,0.467,1089.770150899887
0.5272,0.502,2196.986023902893
0.5262,0.501,2199.486380338669
0.5302,0.503,2197.97087430954
0.5324,0.505,2196.486199617386
0.5448,0.505,2201.6652171611786
