accuracy,accuracy_val,time
0.1568,0.164,3776.849109172821
0.1764,0.166,3745.3444468975067
0.206,0.188,3760.392472267151
0.2436,0.242,3771.0064644813538
0.287,0.279,3769.580151081085
0.3202,0.306,3741.421276807785
0.3424,0.339,3766.242383956909
0.3642,0.374,3737.3468186855316
0.3786,0.382,3753.8368756771088
0.3912,0.389,3766.7724180221558
0.4042,0.39,3728.887545108795
0.419,0.404,3735.4186866283417
0.4258,0.402,3739.825359582901
0.4354,0.417,3739.996612071991
0.4468,0.425,3749.5301506519318
0.455,0.439,3730.213057041168
0.4608,0.45,3751.443955898285
0.4706,0.453,3742.2687289714813
0.4696,0.461,3756.302032470703
0.4776,0.463,3802.258981704712
0.4818,0.47,3734.3289847373962
0.4888,0.487,3736.499724626541
0.4896,0.482,3726.74497961998
0.4966,0.489,3756.969235420227
0.4986,0.499,3739.8967187404633
0.5092,0.503,3746.3975052833557
0.5076,0.499,3743.856954574585
0.5118,0.502,3757.358088493347
0.5184,0.513,3754.393864631653
0.5168,0.514,3738.2307806015015
0.521,0.511,3750.238032579422
0.5304,0.528,3741.125597000122
0.5236,0.518,3729.136729478836
0.533,0.525,3744.145649909973
0.5252,0.51,3783.656630754471
0.534,0.521,3738.5302550792694
0.5412,0.535,3737.799544095993
0.5408,0.528,3740.8119320869446
0.5392,0.529,3732.563153743744
0.5346,0.516,3756.527470111847
0.5344,0.515,3805.834730386734
0.5404,0.511,3753.9166507720947
0.5536,0.533,3756.2695496082306
0.551,0.522,3748.490509033203
0.5468,0.525,3746.2725603580475
0.5504,0.51,3732.391405105591
0.569,0.545,3747.85409116745
0.5598,0.526,3765.854145050049
0.5562,0.515,3737.9431216716766
0.57,0.551,3752.712643146515
