accuracy,accuracy_val,time
0.0908,0.099,1088.739956855774
0.1136,0.118,1089.3197445869446
0.1032,0.114,1090.4949638843536
0.1068,0.121,1087.2526173591614
0.1382,0.158,1088.0252256393433
0.1552,0.151,1087.8919684886932
0.173,0.176,1087.9633865356445
0.1908,0.18,1088.7485649585724
0.1968,0.2,1092.7613196372986
0.2102,0.206,1087.724267244339
0.232,0.23,1087.7045526504517
0.2464,0.247,1087.904702425003
0.2612,0.264,1088.2209367752075
0.2732,0.272,1087.4951145648956
0.2874,0.283,1088.6042759418488
0.3142,0.315,1087.3791856765747
0.3392,0.332,1092.0237209796906
0.3546,0.343,1088.4070663452148
0.388,0.374,1088.1616516113281
0.3932,0.381,1088.1253242492676
0.4176,0.396,1089.8432641029358
0.4192,0.406,1089.7185170650482
0.427,0.409,1088.9771857261658
0.4218,0.403,1089.4858758449554
0.4446,0.421,1088.602239370346
0.4544,0.433,1088.500581741333
0.4504,0.419,1087.5747933387756
0.4704,0.435,1090.6210815906525
0.4708,0.429,1092.913789987564
0.4726,0.44,1090.4681403636932
0.4722,0.434,1092.319147825241
0.481,0.447,1091.15886926651
0.4952,0.457,1089.3777794837952
0.494,0.47,1088.4794855117798
0.5018,0.468,1094.3263697624207
0.5072,0.476,1088.4587421417236
0.4962,0.471,1089.9733786582947
0.506,0.472,1099.616737127304
0.5032,0.468,1089.085324048996
0.508,0.479,1090.799943447113
0.516,0.483,1087.435696363449
0.5178,0.491,1089.2943277359009
0.5196,0.489,1088.96044921875
0.5142,0.489,1088.4101395606995
0.5224,0.493,1090.1366193294525
0.5246,0.495,1092.3483707904816
0.5234,0.495,1087.676293373108
0.5242,0.491,1087.5684025287628
0.5374,0.502,1090.133382320404
0.5324,0.501,1086.997089624405
