epoch,accuracy,accuracy_val,time
44,0.2736,0.279,339.40410923957825
45,0.3286,0.323,729.2678964138031
46,0.325,0.307,727.2245395183563
47,0.3304,0.314,726.4117398262024
48,0.3378,0.311,729.2026333808899
49,0.338,0.318,726.1954646110535
50,0.3362,0.309,726.0105013847351
51,0.3428,0.32,725.3141405582428
52,0.3358,0.311,725.0987136363983
53,0.3464,0.327,726.462296962738
54,0.3332,0.332,725.8732161521912
55,0.3344,0.317,724.8215227127075
56,0.3496,0.322,741.9056632518768
57,0.3414,0.317,726.0878701210022
58,0.3328,0.316,725.7900514602661
59,0.3494,0.331,726.5328297615051
60,0.347,0.33,727.3347644805908
61,0.3524,0.319,725.8661408424377
62,0.353,0.326,726.1016802787781
63,0.3458,0.32,741.9074409008026
64,0.3548,0.321,726.6427302360535
65,0.3402,0.317,741.9062125682831
66,0.36,0.342,816.7948997020721
67,0.3652,0.339,780.507533788681
68,0.3662,0.34,745.4169411659241
69,0.3586,0.333,727.8260605335236
70,0.3506,0.341,730.1099910736084
71,0.365,0.338,726.861218214035
72,0.3622,0.337,728.0514273643494
73,0.3628,0.336,727.1105749607086
74,0.3702,0.332,728.451233625412
75,0.3666,0.334,729.2585663795471
76,0.3674,0.33,730.4039347171783
77,0.3594,0.339,731.6877408027649
78,0.367,0.339,728.6257970333099
79,0.3734,0.351,742.2101707458496
80,0.3746,0.353,731.1787497997284
81,0.372,0.353,725.8977930545807
82,0.3722,0.343,725.8935101032257
83,0.3706,0.344,726.5100350379944
84,0.3732,0.353,726.9317553043365
85,0.3562,0.34,725.4164094924927
86,0.3568,0.328,724.5011491775513
87,0.3632,0.339,725.3222560882568
88,0.366,0.344,727.2889914512634
89,0.3732,0.347,725.3734107017517
