epoch,accuracy,accuracy_val,time
44,0.2532,0.25,196.09454226493835
45,0.3458,0.35,441.9771308898926
46,0.3586,0.349,401.639600276947
47,0.3638,0.355,398.10700368881226
48,0.366,0.365,402.0454442501068
49,0.366,0.353,401.08689165115356
50,0.3638,0.344,396.83473014831543
51,0.3592,0.34,397.7743284702301
52,0.3754,0.349,396.7588629722595
53,0.3748,0.37,401.3909590244293
54,0.3544,0.342,396.91906356811523
55,0.3786,0.37,441.90987038612366
56,0.3722,0.369,400.0525441169739
57,0.372,0.355,403.8037962913513
58,0.3728,0.356,400.69317746162415
59,0.3648,0.347,404.23965191841125
60,0.3694,0.356,403.99942541122437
61,0.3804,0.365,441.91147923469543
62,0.3806,0.359,408.6357488632202
63,0.3766,0.366,404.7335958480835
64,0.3782,0.369,441.90828013420105
65,0.382,0.364,401.1514892578125
66,0.379,0.369,398.77188062667847
67,0.3792,0.369,401.4678680896759
68,0.3784,0.372,441.9109790325165
69,0.3866,0.388,400.8224663734436
70,0.3908,0.369,396.8987054824829
71,0.384,0.379,397.22063302993774
72,0.3944,0.381,398.945228099823
73,0.3882,0.364,405.50704073905945
74,0.3956,0.382,398.1283748149872
75,0.3916,0.381,397.6097903251648
76,0.4022,0.384,398.70975279808044
77,0.4,0.388,399.34170603752136
78,0.3922,0.376,400.01323771476746
79,0.398,0.388,405.7569398880005
80,0.3874,0.395,396.5221092700958
81,0.3854,0.362,395.95739245414734
82,0.398,0.384,395.79612851142883
83,0.3942,0.398,395.56343269348145
84,0.3914,0.375,414.66761302948
85,0.3996,0.394,394.7551782131195
86,0.3874,0.374,396.46434330940247
87,0.3828,0.376,396.25303649902344
88,0.3916,0.393,396.4398248195648
89,0.3844,0.389,393.638720035553
